molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL224458,inactive,4.0,C1=C(c2nc3ccccc3n3cccc23)CCCC1,248.32899999999992,4.444900000000002,0.0,1.0
CHEMBL5287615,inactive,4.5376020021010435,CC(=O)Nc1ccc(/C=C/c2ccc(N=C=S)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,452.4910000000002,2.3579000000000008,1.0,9.0
CHEMBL5281504,inactive,4.301029995663981,CC(=O)Nc1ccc(/C=C/c2ccc(NC(C)=O)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,452.4660000000002,1.5819999999999999,2.0,8.0
CHEMBL5279331,inactive,4.301029995663981,CC(C)COC(=O)Nc1ccc(/C=C/c2ccc(NC(=O)OCC(C)C)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,568.6260000000003,4.074200000000003,2.0,10.0
CHEMBL5284017,inactive,4.301029995663981,CCC(=O)Nc1ccc(/C=C/c2ccc(NC(=O)CC)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,480.5200000000002,2.3622000000000005,2.0,8.0
CHEMBL3823178,inactive,4.336299074610352,CCCOc1ccc2c(c1)nc(-c1ccc(N)cc1)c1cccn12,317.392,4.525500000000003,1.0,3.0
CHEMBL3823105,inactive,4.255315936723114,CCNc1ccc(-c2nc3ccccc3n3cccc23)cc1,287.36600000000004,4.586300000000003,1.0,2.0
CHEMBL5275181,inactive,4.301029995663981,CCOC(=O)Nc1ccc(/C=C/c2ccc(NC(=O)OCC)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,512.5180000000004,2.8020000000000005,2.0,10.0
CHEMBL1215812,inactive,4.0,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(C)C,2686.1109999999953,-11.427500000000007,40.0,40.0
CHEMBL1215814,inactive,4.3979400086720375,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](N)Cc1ccccc1)[C@@H](C)O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)O)C(C)C,2441.9079999999985,-9.736599999999934,36.0,36.0
