molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL2316728,CN(C)c1ccc(C2=C(N3CCOCC3)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)cc1,50000,inactive
CHEMBL2316726,COc1ccc(C2=C(N3CCOCC3)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)cc1,44170,inactive
CHEMBL2316725,O=C1C(I)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)c(Cl)c1,250,active
CHEMBL2316724,O=C1C(Br)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)c(Cl)c1,370,active
CHEMBL2316723,O=C1C(Cl)=C(c2ccc(C(F)(F)F)cc2)C(=O)N1c1ccc(Cl)c(Cl)c1,810,active
CHEMBL2316722,O=C1C(Cl)=C(c2ccccc2)C(=O)N1c1ccc(Cl)c(Cl)c1,930,active
CHEMBL2316721,Nc1ccc(C2=C(Cl)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)cc1,1400,intermediate
CHEMBL2316720,COc1ccc(C2=C(Cl)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)cc1OC,2140,intermediate
CHEMBL2316719,CN(C)c1ccc(C2=C(Cl)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)cc1,15620,inactive
CHEMBL2316739,COc1ccc(C2=C(Cl)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)cc1,5290,intermediate
CHEMBL1271764,CN1CCN(C2=C(Cl)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)CC1,6430,intermediate
CHEMBL2316738,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Br)c(Cl)c1,3100,intermediate
CHEMBL2316737,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)c(Br)c1,9940,intermediate
CHEMBL2316736,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)c(F)c1,7910,intermediate
CHEMBL2316735,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(F)c(Cl)c1,8320,intermediate
CHEMBL2316734,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(F)c(F)c1,13160,inactive
CHEMBL1414442,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1cccc(Cl)c1Cl,14880,inactive
CHEMBL2316733,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)cc1,38170,inactive
CHEMBL1497208,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccccc1,17850,inactive
CHEMBL1271993,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)c(Cl)c1,6820,intermediate
CHEMBL3823840,CN(C)c1ccc(-c2nc3cc(F)c(F)cc3n3cccc23)cc1,100000,inactive
CHEMBL3823248,COc1ccc2c(c1)nc(-c1cccnc1)c1cccn12,38600,inactive
CHEMBL3823341,Oc1ccc2c(c1)nc(-c1cccnc1)c1cccn12,64900,inactive
CHEMBL3823178,CCCOc1ccc2c(c1)nc(-c1ccc(N)cc1)c1cccn12,46100,inactive
CHEMBL3823807,Nc1ccc(-c2nc3cc(OCCF)ccc3n3cccc23)cc1,20000,inactive
CHEMBL3823654,CN(C)c1ccc(-c2nc3cc(OC(C)(C)C(N)=O)ccc3n3cccc23)cc1,100000,inactive
CHEMBL1547184,COc1ccc2c(c1)NC(c1ccc(N(C)C)cc1)c1cccn1-2,100000,inactive
CHEMBL3823677,O=[N+]([O-])c1cccc(-c2nc3ccccc3n3cccc23)c1,100000,inactive
CHEMBL3824220,Nc1cccc(-c2nc3ccccc3n3cccc23)c1,100000,inactive
CHEMBL3823737,Oc1ccc(-c2nc3ccccc3n3cccc23)cc1,100000,inactive
CHEMBL3823934,O=[N+]([O-])c1ccc(-c2nc3ccccc3n3cccc23)cc1,100000,inactive
